"","sp","country","invasive"
"158","Oryctolagus cuniculus","australia","invasive"
"159","Oryctolagus cuniculus","canada","invasive"
"160","Oryctolagus cuniculus","chile","invasive"
"161","Oryctolagus cuniculus","falkland islands (malvinas)","invasive"
"162","Oryctolagus cuniculus","french polynesia","invasive"
"163","Oryctolagus cuniculus","french southern territories","invasive"
"164","Oryctolagus cuniculus","kiribati","invasive"
"165","Oryctolagus cuniculus","mauritius","invasive"
"166","Oryctolagus cuniculus","mexico","invasive"
"167","Oryctolagus cuniculus","new caledonia","invasive"
"168","Oryctolagus cuniculus","new zealand","invasive"
"169","Oryctolagus cuniculus","norfolk island","invasive"
"170","Oryctolagus cuniculus","reunion","invasive"
"171","Oryctolagus cuniculus","saint helena","invasive"
"172","Oryctolagus cuniculus","seychelles","invasive"
"173","Oryctolagus cuniculus","spain","invasive"
"174","Oryctolagus cuniculus","united states","invasive"
"175","Rattus rattus","american samoa","invasive"
"176","Rattus rattus","anguilla","invasive"
"177","Rattus rattus","antigua and barbuda","invasive"
"178","Rattus rattus","australia","invasive"
"179","Rattus rattus","bahamas","invasive"
"180","Rattus rattus","barbados","invasive"
"181","Rattus rattus","bermuda","invasive"
"182","Rattus rattus","british indian ocean territory","invasive"
"183","Rattus rattus","canada","invasive"
"184","Rattus rattus","cayman islands","invasive"
"185","Rattus rattus","cook islands","invasive"
"186","Rattus rattus","curacao","invasive"
"187","Rattus rattus","dominica","invasive"
"188","Rattus rattus","dominican republic","invasive"
"189","Rattus rattus","ecuador","invasive"
"190","Rattus rattus","falkland islands (malvinas)","invasive"
"191","Rattus rattus","fiji","invasive"
"192","Rattus rattus","france","invasive"
"193","Rattus rattus","french polynesia","invasive"
"194","Rattus rattus","french southern territories","invasive"
"195","Rattus rattus","greece","invasive"
"196","Rattus rattus","guadeloupe","invasive"
"197","Rattus rattus","guam","invasive"
"198","Rattus rattus","indonesia","invasive"
"199","Rattus rattus","italy","invasive"
"200","Rattus rattus","jamaica","invasive"
"201","Rattus rattus","kiribati","invasive"
"202","Rattus rattus","malta","invasive"
"203","Rattus rattus","marshall islands","invasive"
"204","Rattus rattus","martinique","invasive"
"205","Rattus rattus","mauritius","invasive"
"206","Rattus rattus","mayotte","invasive"
"207","Rattus rattus","mexico","invasive"
"208","Rattus rattus","micronesia, federated states of","invasive"
"209","Rattus rattus","montserrat","invasive"
"210","Rattus rattus","nauru","invasive"
"211","Rattus rattus","new caledonia","invasive"
"212","Rattus rattus","new zealand","invasive"
"213","Rattus rattus","niue","invasive"
"214","Rattus rattus","northern mariana islands","invasive"
"215","Rattus rattus","palau","invasive"
"216","Rattus rattus","papua new guinea","invasive"
"217","Rattus rattus","peru","invasive"
"218","Rattus rattus","portugal","invasive"
"219","Rattus rattus","puerto rico","invasive"
"220","Rattus rattus","reunion","invasive"
"221","Rattus rattus","saint barthelemy","invasive"
"222","Rattus rattus","saint helena","invasive"
"223","Rattus rattus","saint lucia","invasive"
"224","Rattus rattus","saint martin (french part)","invasive"
"225","Rattus rattus","samoa","invasive"
"226","Rattus rattus","sao tome and principe","invasive"
"227","Rattus rattus","seychelles","invasive"
"228","Rattus rattus","solomon islands","invasive"
"229","Rattus rattus","spain","invasive"
"230","Rattus rattus","tanzania, united republic of","invasive"
"231","Rattus rattus","tonga","invasive"
"232","Rattus rattus","trinidad and tobago","invasive"
"233","Rattus rattus","turks and caicos islands","invasive"
"234","Rattus rattus","tuvalu","invasive"
"235","Rattus rattus","united kingdom","invasive"
"236","Rattus rattus","united states","invasive"
"237","Rattus rattus","united states minor outlying islands","invasive"
"238","Rattus rattus","vanuatu","invasive"
"239","Rattus rattus","virgin islands, british","invasive"
"240","Rattus rattus","virgin islands, u.s.","invasive"
"241","Rattus rattus","wallis and futuna","invasive"
"242","Rattus rattus","india","native"
"243","Schinus terebinthifolius","american samoa","invasive"
"244","Schinus terebinthifolius","australia","invasive"
"245","Schinus terebinthifolius","bahamas","invasive"
"246","Schinus terebinthifolius","bermuda","invasive"
"247","Schinus terebinthifolius","cuba","invasive"
"248","Schinus terebinthifolius","fiji","invasive"
"249","Schinus terebinthifolius","french polynesia","invasive"
"250","Schinus terebinthifolius","guam","invasive"
