"","sp","country","invasive"
"3280","Ophiostoma ulmi sensu lato","belgium","invasive"
"3281","Ophiostoma ulmi sensu lato","bes islands (bonaire, sint eustatius and saba)","invasive"
"3282","Ophiostoma ulmi sensu lato","canada","invasive"
"3283","Ophiostoma ulmi sensu lato","czech republic","invasive"
"3284","Ophiostoma ulmi sensu lato","europe","invasive"
"3285","Ophiostoma ulmi sensu lato","ex-yugoslavia","invasive"
"3286","Ophiostoma ulmi sensu lato","former ussr","invasive"
"3287","Ophiostoma ulmi sensu lato","france","invasive"
"3288","Ophiostoma ulmi sensu lato","germany","invasive"
"3289","Ophiostoma ulmi sensu lato","greece","invasive"
"3290","Ophiostoma ulmi sensu lato","hungary","invasive"
"3291","Ophiostoma ulmi sensu lato","iran, islamic republic of","invasive"
"3292","Ophiostoma ulmi sensu lato","italy","invasive"
"3293","Ophiostoma ulmi sensu lato","japan","invasive"
"3294","Ophiostoma ulmi sensu lato","new zealand","invasive"
"3295","Ophiostoma ulmi sensu lato","poland","invasive"
"3296","Ophiostoma ulmi sensu lato","portugal","invasive"
"3297","Ophiostoma ulmi sensu lato","romania","invasive"
"3298","Ophiostoma ulmi sensu lato","spain","invasive"
"3299","Ophiostoma ulmi sensu lato","sweden","invasive"
"3300","Ophiostoma ulmi sensu lato","switzerland","invasive"
"3301","Ophiostoma ulmi sensu lato","united kingdom","invasive"
"3302","Ophiostoma ulmi sensu lato","united states","invasive"
"3303","Oreochromis mossambicus","algeria","invasive"
"3304","Oreochromis mossambicus","american samoa","invasive"
"3305","Oreochromis mossambicus","antigua and barbuda","invasive"
"3306","Oreochromis mossambicus","argentina","invasive"
"3307","Oreochromis mossambicus","australia","invasive"
"3308","Oreochromis mossambicus","bahamas","invasive"
"3309","Oreochromis mossambicus","bangladesh","invasive"
"3310","Oreochromis mossambicus","barbados","invasive"
"3311","Oreochromis mossambicus","benin","invasive"
"3312","Oreochromis mossambicus","bolivia","invasive"
"3313","Oreochromis mossambicus","brazil","invasive"
"3314","Oreochromis mossambicus","burundi","invasive"
"3315","Oreochromis mossambicus","cambodia","invasive"
"3316","Oreochromis mossambicus","china","invasive"
"3317","Oreochromis mossambicus","colombia","invasive"
"3318","Oreochromis mossambicus","congo","invasive"
"3319","Oreochromis mossambicus","cook islands","invasive"
"3320","Oreochromis mossambicus","costa rica","invasive"
"3321","Oreochromis mossambicus","cuba","invasive"
"3322","Oreochromis mossambicus","czech republic","invasive"
"3323","Oreochromis mossambicus","dominica","invasive"
"3324","Oreochromis mossambicus","dominican republic","invasive"
"3325","Oreochromis mossambicus","ecuador","invasive"
"3326","Oreochromis mossambicus","egypt","invasive"
"3327","Oreochromis mossambicus","el salvador","invasive"
"3328","Oreochromis mossambicus","fiji","invasive"
"3329","Oreochromis mossambicus","french polynesia","invasive"
"3330","Oreochromis mossambicus","grenada","invasive"
"3331","Oreochromis mossambicus","guadeloupe","invasive"
"3332","Oreochromis mossambicus","guam","invasive"
"3333","Oreochromis mossambicus","guatemala","invasive"
"3334","Oreochromis mossambicus","guyana","invasive"
"3335","Oreochromis mossambicus","haiti","invasive"
"3336","Oreochromis mossambicus","honduras","invasive"
"3337","Oreochromis mossambicus","hong kong","invasive"
"3338","Oreochromis mossambicus","india","invasive"
"3339","Oreochromis mossambicus","indonesia","invasive"
"3340","Oreochromis mossambicus","israel","invasive"
"3341","Oreochromis mossambicus","jamaica","invasive"
"3342","Oreochromis mossambicus","japan","invasive"
"3343","Oreochromis mossambicus","jordan","invasive"
"3344","Oreochromis mossambicus","kenya","invasive"
"3345","Oreochromis mossambicus","kiribati","invasive"
"3346","Oreochromis mossambicus","korea, republic of","invasive"
"3347","Oreochromis mossambicus","madagascar","invasive"
"3348","Oreochromis mossambicus","malaysia","invasive"
"3349","Oreochromis mossambicus","maldives","invasive"
"3350","Oreochromis mossambicus","malta","invasive"
"3351","Oreochromis mossambicus","martinique","invasive"
"3352","Oreochromis mossambicus","mexico","invasive"
"3353","Oreochromis mossambicus","micronesia, federated states of","invasive"
"3354","Oreochromis mossambicus","namibia","invasive"
"3355","Oreochromis mossambicus","nauru","invasive"
"3356","Oreochromis mossambicus","nepal","invasive"
"3357","Oreochromis mossambicus","new caledonia","invasive"
"3358","Oreochromis mossambicus","nicaragua","invasive"
"3359","Oreochromis mossambicus","niue","invasive"
"3360","Oreochromis mossambicus","northern mariana islands","invasive"
"3361","Oreochromis mossambicus","pakistan","invasive"
"3362","Oreochromis mossambicus","palau","invasive"
"3363","Oreochromis mossambicus","panama","invasive"
"3364","Oreochromis mossambicus","papua new guinea","invasive"
"3365","Oreochromis mossambicus","peru","invasive"
"3366","Oreochromis mossambicus","philippines","invasive"
"3367","Oreochromis mossambicus","puerto rico","invasive"
"3368","Oreochromis mossambicus","reunion","invasive"
"3369","Oreochromis mossambicus","russian federation","invasive"
"3370","Oreochromis mossambicus","saint lucia","invasive"
"3371","Oreochromis mossambicus","samoa","invasive"
"3372","Oreochromis mossambicus","saudi arabia","invasive"
"3373","Oreochromis mossambicus","seychelles","invasive"
"3374","Oreochromis mossambicus","singapore","invasive"
"3375","Oreochromis mossambicus","solomon islands","invasive"
"3376","Oreochromis mossambicus","south africa","invasive"
"3377","Oreochromis mossambicus","sri lanka","invasive"
"3378","Oreochromis mossambicus","suriname","invasive"
"3379","Oreochromis mossambicus","taiwan","invasive"
"3380","Oreochromis mossambicus","thailand","invasive"
"3381","Oreochromis mossambicus","tonga","invasive"
"3382","Oreochromis mossambicus","trinidad and tobago","invasive"
"3383","Oreochromis mossambicus","tunisia","invasive"
"3384","Oreochromis mossambicus","tuvalu","invasive"
"3385","Oreochromis mossambicus","uganda","invasive"
"3386","Oreochromis mossambicus","united kingdom","invasive"
"3387","Oreochromis mossambicus","united states","invasive"
"3388","Oreochromis mossambicus","vanuatu","invasive"
"3389","Oreochromis mossambicus","venezuela","invasive"
"3390","Oreochromis mossambicus","viet nam","invasive"
"3391","Oreochromis mossambicus","wallis and futuna","invasive"
"3392","Oreochromis mossambicus","lesotho","native"
"3393","Oreochromis mossambicus","lower zambezi","native"
"3394","Oreochromis mossambicus","malawi","native"
"3395","Oreochromis mossambicus","mozambique","native"
"3396","Oreochromis mossambicus","swaziland","native"
"3397","Oreochromis mossambicus","zimbabwe","native"
"3398","Pheidole megacephala","american samoa","invasive"
"3399","Pheidole megacephala","angola","invasive"
"3400","Pheidole megacephala","australia","invasive"
"3401","Pheidole megacephala","bermuda","invasive"
"3402","Pheidole megacephala","brazil","invasive"
"3403","Pheidole megacephala","caroline islands","invasive"
"3404","Pheidole megacephala","chile","invasive"
"3405","Pheidole megacephala","china","invasive"
"3406","Pheidole megacephala","cook islands","invasive"
"3407","Pheidole megacephala","cote d'ivoire","invasive"
"3408","Pheidole megacephala","cuba","invasive"
"3409","Pheidole megacephala","ecuador","invasive"
"3410","Pheidole megacephala","egypt","invasive"
"3411","Pheidole megacephala","ethiopia","invasive"
"3412","Pheidole megacephala","fiji","invasive"
"3413","Pheidole megacephala","french polynesia","invasive"
"3414","Pheidole megacephala","ghana","invasive"
"3415","Pheidole megacephala","guam","invasive"
"3416","Pheidole megacephala","indonesia","invasive"
"3417","Pheidole megacephala","italy","invasive"
"3418","Pheidole megacephala","japan","invasive"
"3419","Pheidole megacephala","kenya","invasive"
"3420","Pheidole megacephala","kiribati","invasive"
"3421","Pheidole megacephala","madagascar","invasive"
"3422","Pheidole megacephala","marshall islands","invasive"
"3423","Pheidole megacephala","mauritius","invasive"
"3424","Pheidole megacephala","mexico","invasive"
"3425","Pheidole megacephala","micronesia","invasive"
"3426","Pheidole megacephala","mozambique","invasive"
"3427","Pheidole megacephala","nauru","invasive"
"3428","Pheidole megacephala","new caledonia","invasive"
"3429","Pheidole megacephala","new zealand","invasive"
"3430","Pheidole megacephala","niue","invasive"
"3431","Pheidole megacephala","norfolk island","invasive"
"3432","Pheidole megacephala","northern mariana islands","invasive"
"3433","Pheidole megacephala","palau","invasive"
"3434","Pheidole megacephala","papua new guinea","invasive"
"3435","Pheidole megacephala","philippines","invasive"
"3436","Pheidole megacephala","pitcairn","invasive"
"3437","Pheidole megacephala","portugal","invasive"
"3438","Pheidole megacephala","puerto rico","invasive"
"3439","Pheidole megacephala","reunion","invasive"
"3440","Pheidole megacephala","saint helena","invasive"
"3441","Pheidole megacephala","samoa","invasive"
"3442","Pheidole megacephala","singapore","invasive"
"3443","Pheidole megacephala","solomon islands","invasive"
"3444","Pheidole megacephala","south africa","invasive"
"3445","Pheidole megacephala","sri lanka","invasive"
"3446","Pheidole megacephala","taiwan","invasive"
"3447","Pheidole megacephala","tanzania, united republic of","invasive"
"3448","Pheidole megacephala","tokelau","invasive"
"3449","Pheidole megacephala","tonga","invasive"
"3450","Pheidole megacephala","tuvalu","invasive"
"3451","Pheidole megacephala","united kingdom","invasive"
"3452","Pheidole megacephala","united states","invasive"
"3453","Pheidole megacephala","united states minor outlying islands","invasive"
"3454","Pheidole megacephala","vanuatu","invasive"
"3455","Pheidole megacephala","viet nam","invasive"
"3456","Pheidole megacephala","wallis and futuna","invasive"
"3457","Pheidole megacephala","cameroon","native"
"3458","Platydemus manokwari","australia","invasive"
"3459","Platydemus manokwari","french polynesia","invasive"
"3460","Platydemus manokwari","guam","invasive"
"3461","Platydemus manokwari","japan","invasive"
"3462","Platydemus manokwari","maldives","invasive"
"3463","Platydemus manokwari","micronesia, federated states of","invasive"
"3464","Platydemus manokwari","northern mariana islands","invasive"
"3465","Platydemus manokwari","palau","invasive"
"3466","Platydemus manokwari","philippines","invasive"
"3467","Platydemus manokwari","samoa","invasive"
"3468","Platydemus manokwari","tonga","invasive"
"3469","Platydemus manokwari","united states","invasive"
"3470","Platydemus manokwari","vanuatu","invasive"
"3471","Platydemus manokwari","indonesia","native"
"3472","Pomacea canaliculata","cambodia","invasive"
"3473","Pomacea canaliculata","china","invasive"
"3474","Pomacea canaliculata","dominican republic","invasive"
"3475","Pomacea canaliculata","guam","invasive"
"3476","Pomacea canaliculata","hong kong","invasive"
"3477","Pomacea canaliculata","indonesia","invasive"
"3478","Pomacea canaliculata","japan","invasive"
"3479","Pomacea canaliculata","korea, republic of","invasive"
"3480","Pomacea canaliculata","lao people's democratic republic","invasive"
"3481","Pomacea canaliculata","malaysia","invasive"
"3482","Pomacea canaliculata","papua new guinea","invasive"
"3483","Pomacea canaliculata","philippines","invasive"
"3484","Pomacea canaliculata","singapore","invasive"
"3485","Pomacea canaliculata","sri lanka","invasive"
"3486","Pomacea canaliculata","taiwan","invasive"
"3487","Pomacea canaliculata","thailand","invasive"
"3488","Pomacea canaliculata","united states","invasive"
"3489","Pomacea canaliculata","viet nam","invasive"
"3490","Pomacea canaliculata","argentina","native"
"3491","Pomacea canaliculata","bolivia","native"
"3492","Pomacea canaliculata","paraguay","native"
"3493","Potamocorbula amurensis","united states","invasive"
"3494","Potamocorbula amurensis","china","native"
"3495","Potamocorbula amurensis","japan","native"
"3496","Potamocorbula amurensis","korea, democratic people's republic of","native"
"3497","Potamocorbula amurensis","korea, republic of","native"
"3498","Prosopis glandulosa","australia","invasive"
"3499","Pycnonotus cafer","australia","invasive"
"3500","Pycnonotus cafer","fiji","invasive"
"3501","Pycnonotus cafer","french polynesia","invasive"
"3502","Pycnonotus cafer","marshall islands","invasive"
"3503","Pycnonotus cafer","new caledonia","invasive"
"3504","Pycnonotus cafer","new zealand","invasive"
"3505","Pycnonotus cafer","samoa","invasive"
"3506","Pycnonotus cafer","tonga","invasive"
"3507","Pycnonotus cafer","united states","invasive"
"3508","Pycnonotus cafer","india","native"
"3509","Pycnonotus cafer","pakistan","native"
"3510","Pycnonotus cafer","sri lanka","native"
"3511","Pycnonotus cafer","viet nam","native"
"3512","Macaca fascicularis","hong kong","invasive"
"3513","Macaca fascicularis","indonesia","invasive"
"3514","Macaca fascicularis","mauritius","invasive"
"3515","Macaca fascicularis","palau","invasive"
"3516","Anopheles quadrimaculatus","canada","native"
"3517","Anopheles quadrimaculatus","panama","native"
"3518","Anopheles quadrimaculatus","united states","native"
"3519","Banana bunchy top virus (BBTV)","american samoa","invasive"
"3520","Banana bunchy top virus (BBTV)","australia","invasive"
"3521","Banana bunchy top virus (BBTV)","bangladesh","invasive"
"3522","Banana bunchy top virus (BBTV)","burundi","invasive"
"3523","Banana bunchy top virus (BBTV)","china","invasive"
"3524","Banana bunchy top virus (BBTV)","curacao","invasive"
"3525","Banana bunchy top virus (BBTV)","egypt","invasive"
"3526","Banana bunchy top virus (BBTV)","fiji","invasive"
"3527","Banana bunchy top virus (BBTV)","guam","invasive"
"3528","Banana bunchy top virus (BBTV)","india","invasive"
"3529","Banana bunchy top virus (BBTV)","indonesia","invasive"
"3530","Banana bunchy top virus (BBTV)","japan","invasive"
"3531","Banana bunchy top virus (BBTV)","kiribati","invasive"
"3532","Banana bunchy top virus (BBTV)","korea, democratic people's republic of","invasive"
"3533","Banana bunchy top virus (BBTV)","korea, republic of","invasive"
"3534","Banana bunchy top virus (BBTV)","malawi","invasive"
"3535","Banana bunchy top virus (BBTV)","malaysia","invasive"
"3536","Banana bunchy top virus (BBTV)","myanmar","invasive"
"3537","Banana bunchy top virus (BBTV)","new caledonia","invasive"
"3538","Banana bunchy top virus (BBTV)","northern mariana islands","invasive"
"3539","Banana bunchy top virus (BBTV)","pakistan","invasive"
"3540","Banana bunchy top virus (BBTV)","palau","invasive"
"3541","Banana bunchy top virus (BBTV)","philippines","invasive"
"3542","Banana bunchy top virus (BBTV)","samoa","invasive"
"3543","Banana bunchy top virus (BBTV)","sri lanka","invasive"
"3544","Banana bunchy top virus (BBTV)","taiwan","invasive"
"3545","Banana bunchy top virus (BBTV)","thailand","invasive"
"3546","Banana bunchy top virus (BBTV)","tonga","invasive"
"3547","Banana bunchy top virus (BBTV)","tuvalu","invasive"
"3548","Banana bunchy top virus (BBTV)","united states","invasive"
"3549","Banana bunchy top virus (BBTV)","viet nam","invasive"
"3550","Trogoderma granarium","afghanistan","invasive"
"3551","Trogoderma granarium","algeria","invasive"
"3552","Trogoderma granarium","australia","invasive"
"3553","Trogoderma granarium","austria","invasive"
"3554","Trogoderma granarium","bangladesh","invasive"
"3555","Trogoderma granarium","belgium","invasive"
"3556","Trogoderma granarium","bulgaria","invasive"
"3557","Trogoderma granarium","burkina faso","invasive"
"3558","Trogoderma granarium","croatia","invasive"
"3559","Trogoderma granarium","cyprus","invasive"
"3560","Trogoderma granarium","czech republic","invasive"
"3561","Trogoderma granarium","denmark","invasive"
"3562","Trogoderma granarium","egypt","invasive"
"3563","Trogoderma granarium","germany","invasive"
"3564","Trogoderma granarium","hungary","invasive"
"3565","Trogoderma granarium","indonesia","invasive"
"3566","Trogoderma granarium","iran, islamic republic of","invasive"
"3567","Trogoderma granarium","iraq","invasive"
"3568","Trogoderma granarium","ireland","invasive"
"3569","Trogoderma granarium","italy","invasive"
"3570","Trogoderma granarium","japan","invasive"
"3571","Trogoderma granarium","kenya","invasive"
"3572","Trogoderma granarium","korea, democratic people's republic of","invasive"
"3573","Trogoderma granarium","lebanon","invasive"
"3574","Trogoderma granarium","libyan arab jamahiriya","invasive"
"3575","Trogoderma granarium","malaysia","invasive"
"3576","Trogoderma granarium","mali","invasive"
"3577","Trogoderma granarium","mauritania","invasive"
"3578","Trogoderma granarium","mexico","invasive"
"3579","Trogoderma granarium","morocco","invasive"
"3580","Trogoderma granarium","myanmar","invasive"
"3581","Trogoderma granarium","netherlands","invasive"
"3582","Trogoderma granarium","new zealand","invasive"
"3583","Trogoderma granarium","nigeria","invasive"
"3584","Trogoderma granarium","pakistan","invasive"
"3585","Trogoderma granarium","poland","invasive"
"3586","Trogoderma granarium","portugal","invasive"
"3587","Trogoderma granarium","russian federation","invasive"
"3588","Trogoderma granarium","saudi arabia","invasive"
"3589","Trogoderma granarium","senegal","invasive"
"3590","Trogoderma granarium","sierra leone","invasive"
"3591","Trogoderma granarium","slovakia","invasive"
"3592","Trogoderma granarium","somalia","invasive"
"3593","Trogoderma granarium","south africa","invasive"
"3594","Trogoderma granarium","spain","invasive"
"3595","Trogoderma granarium","sri lanka","invasive"
"3596","Trogoderma granarium","sudan","invasive"
"3597","Trogoderma granarium","sweden","invasive"
"3598","Trogoderma granarium","switzerland","invasive"
"3599","Trogoderma granarium","syrian arab republic","invasive"
"3600","Trogoderma granarium","taiwan","invasive"
"3601","Trogoderma granarium","tanzania, united republic of","invasive"
"3602","Trogoderma granarium","tunisia","invasive"
"3603","Trogoderma granarium","turkey","invasive"
"3604","Trogoderma granarium","united kingdom","invasive"
"3605","Trogoderma granarium","united states","invasive"
"3606","Trogoderma granarium","venezuela","invasive"
"3607","Trogoderma granarium","yemen","invasive"
"3608","Trogoderma granarium","zambia","invasive"
"3609","Trogoderma granarium","zimbabwe","invasive"
"3610","Trogoderma granarium","india","native"
"3611","Phytophthora cinnamomi","australia","invasive"
"3612","Phytophthora cinnamomi","china","invasive"
"3613","Phytophthora cinnamomi","france","invasive"
"3614","Phytophthora cinnamomi","italy","invasive"
"3615","Phytophthora cinnamomi","mexico","invasive"
"3616","Phytophthora cinnamomi","new zealand","invasive"
"3617","Phytophthora cinnamomi","portugal","invasive"
"3618","Phytophthora cinnamomi","romania","invasive"
"3619","Phytophthora cinnamomi","slovakia","invasive"
"3620","Phytophthora cinnamomi","south africa","invasive"
"3621","Phytophthora cinnamomi","spain","invasive"
"3622","Phytophthora cinnamomi","switzerland","invasive"
"3623","Phytophthora cinnamomi","united kingdom","invasive"
"3624","Phytophthora cinnamomi","united states","invasive"
"3625","Canis lupus","anguilla","invasive"
"3626","Canis lupus","antigua and barbuda","invasive"
"3627","Canis lupus","australia","invasive"
"3628","Canis lupus","bahamas","invasive"
"3629","Canis lupus","cayman islands","invasive"
"3630","Canis lupus","cook islands","invasive"
"3631","Canis lupus","dominican republic","invasive"
"3632","Canis lupus","ecuador","invasive"
"3633","Canis lupus","fiji","invasive"
"3634","Canis lupus","french guiana","invasive"
"3635","Canis lupus","french polynesia","invasive"
"3636","Canis lupus","germany","invasive"
"3637","Canis lupus","guam","invasive"
"3638","Canis lupus","haiti","invasive"
"3639","Canis lupus","jamaica","invasive"
"3640","Canis lupus","kiribati","invasive"
"3641","Canis lupus","madagascar","invasive"
"3642","Canis lupus","marshall islands","invasive"
"3643","Canis lupus","masai mara reserve","invasive"
"3644","Canis lupus","mexico","invasive"
"3645","Canis lupus","micronesia, federated states of","invasive"
"3646","Canis lupus","nauru","invasive"
"3647","Canis lupus","new caledonia","invasive"
"3648","Canis lupus","new zealand","invasive"
"3649","Canis lupus","niue","invasive"
"3650","Canis lupus","northern mariana islands","invasive"
"3651","Canis lupus","papua new guinea","invasive"
"3652","Canis lupus","saint helena","invasive"
"3653","Canis lupus","saint lucia","invasive"
"3654","Canis lupus","saint martin (french part)","invasive"
"3655","Canis lupus","serengeti-mara ecosystem","invasive"
"3656","Canis lupus","solomon islands","invasive"
"3657","Canis lupus","tokelau","invasive"
"3658","Canis lupus","tonga","invasive"
"3659","Canis lupus","turks and caicos islands","invasive"
"3660","Canis lupus","united states","invasive"
"3661","Canis lupus","united states minor outlying islands","invasive"
"3662","Canis lupus","virgin islands, british","invasive"
"3663","Canis lupus","australia","native"
"3664","Xenopus laevis","chile","invasive"
"3665","Xenopus laevis","france","invasive"
"3666","Xenopus laevis","indonesia","invasive"
"3667","Xenopus laevis","israel","invasive"
"3668","Xenopus laevis","italy","invasive"
"3669","Xenopus laevis","japan","invasive"
"3670","Xenopus laevis","mexico","invasive"
"3671","Xenopus laevis","portugal","invasive"
"3672","Xenopus laevis","saint helena","invasive"
"3673","Xenopus laevis","spain","invasive"
"3674","Xenopus laevis","united kingdom","invasive"
"3675","Xenopus laevis","united states","invasive"
"3676","Bythotrephes longimanus","canada","invasive"
"3677","Bythotrephes longimanus","great lakes","invasive"
"3678","Bythotrephes longimanus","lake erie","invasive"
"3679","Bythotrephes longimanus","lake huron","invasive"
"3680","Bythotrephes longimanus","lake michigan","invasive"
"3681","Bythotrephes longimanus","lake muskoka","invasive"
"3682","Bythotrephes longimanus","lake superior","invasive"
"3683","Bythotrephes longimanus","united states","invasive"
"3684","Bythotrephes longimanus","austria","native"
"3685","Bythotrephes longimanus","belgium","native"
"3686","Bythotrephes longimanus","germany","native"
"3687","Bythotrephes longimanus","italy","native"
"3688","Bythotrephes longimanus","lake constance","native"
"3689","Bythotrephes longimanus","netherlands","native"
"3690","Bythotrephes longimanus","norway","native"
"3691","Bythotrephes longimanus","poland","native"
"3692","Bythotrephes longimanus","russian federation","native"
"3693","Bythotrephes longimanus","switzerland","native"
"3694","Bythotrephes longimanus","united kingdom","native"
"3695","Oxyura jamaicensis","algeria","invasive"
"3696","Oxyura jamaicensis","austria","invasive"
"3697","Oxyura jamaicensis","belgium","invasive"
"3698","Oxyura jamaicensis","denmark","invasive"
"3699","Oxyura jamaicensis","europe","invasive"
"3700","Oxyura jamaicensis","finland","invasive"
"3701","Oxyura jamaicensis","france","invasive"
"3702","Oxyura jamaicensis","germany","invasive"
"3703","Oxyura jamaicensis","hungary","invasive"
"3704","Oxyura jamaicensis","iceland","invasive"
"3705","Oxyura jamaicensis","ireland","invasive"
"3706","Oxyura jamaicensis","israel","invasive"
"3707","Oxyura jamaicensis","italy","invasive"
"3708","Oxyura jamaicensis","morocco","invasive"
"3709","Oxyura jamaicensis","netherlands","invasive"
"3710","Oxyura jamaicensis","norway","invasive"
"3711","Oxyura jamaicensis","portugal","invasive"
"3712","Oxyura jamaicensis","slovenia","invasive"
"3713","Oxyura jamaicensis","spain","invasive"
"3714","Oxyura jamaicensis","sweden","invasive"
"3715","Oxyura jamaicensis","switzerland","invasive"
"3716","Oxyura jamaicensis","tunisia","invasive"
"3717","Oxyura jamaicensis","turkey","invasive"
"3718","Oxyura jamaicensis","united kingdom","invasive"
"3719","Oxyura jamaicensis","mexico","native"
"3720","Oxyura jamaicensis","north america","native"
"3721","Parthenium hysterophorus","atlantic - western central","invasive"
"3722","Parthenium hysterophorus","australia","invasive"
"3723","Parthenium hysterophorus","bermuda","invasive"
"3724","Parthenium hysterophorus","ethiopia","invasive"
"3725","Parthenium hysterophorus","french polynesia","invasive"
"3726","Parthenium hysterophorus","india","invasive"
"3727","Parthenium hysterophorus","madagascar","invasive"
"3728","Parthenium hysterophorus","mayotte","invasive"
"3729","Parthenium hysterophorus","new caledonia","invasive"
"3730","Parthenium hysterophorus","papua new guinea","invasive"
"3731","Parthenium hysterophorus","reunion","invasive"
"3732","Parthenium hysterophorus","south africa","invasive"
"3733","Parthenium hysterophorus","swaziland","invasive"
"3734","Parthenium hysterophorus","taiwan","invasive"
"3735","Parthenium hysterophorus","united states","invasive"
"3736","Parthenium hysterophorus","australia","native"
"3737","Parthenium hysterophorus","central america","native"
"3738","Parthenium hysterophorus","guadeloupe","native"
"3739","Parthenium hysterophorus","martinique","native"
"3740","Parthenium hysterophorus","mexico","native"
"3741","Parthenium hysterophorus","saint barthelemy","native"
"3742","Parthenium hysterophorus","saint martin (french part)","native"
"3743","Parthenium hysterophorus","south america","native"
"3744","Celastrus orbiculatus","canada","invasive"
"3745","Celastrus orbiculatus","new zealand","invasive"
"3746","Celastrus orbiculatus","panama","invasive"
"3747","Celastrus orbiculatus","poland","invasive"
"3748","Celastrus orbiculatus","sweden","invasive"
"3749","Celastrus orbiculatus","united states","invasive"
"3750","Celastrus orbiculatus","china","native"
"3751","Celastrus orbiculatus","japan","native"
"3752","Celastrus orbiculatus","korea, democratic people's republic of","native"
"3753","Celastrus orbiculatus","korea, republic of","native"
"3754","Celastrus orbiculatus","mongolia","native"
"3755","Celastrus orbiculatus","russian federation","native"
"3756","Clematis vitalba","canada","invasive"
"3757","Clematis vitalba","new zealand","invasive"
"3758","Clematis vitalba","poland","invasive"
"3759","Clematis vitalba","united states","invasive"
"3760","Clematis vitalba","afghanistan","native"
"3761","Clematis vitalba","albania","native"
"3762","Clematis vitalba","algeria","native"
"3763","Clematis vitalba","armenia","native"
"3764","Clematis vitalba","austria","native"
"3765","Clematis vitalba","azerbaijan","native"
"3766","Clematis vitalba","belgium","native"
"3767","Clematis vitalba","bulgaria","native"
"3768","Clematis vitalba","cyprus","native"
"3769","Clematis vitalba","czech republic","native"
"3770","Clematis vitalba","france","native"
"3771","Clematis vitalba","georgia","native"
"3772","Clematis vitalba","germany","native"
"3773","Clematis vitalba","greece","native"
"3774","Clematis vitalba","hungary","native"
"3775","Clematis vitalba","iran, islamic republic of","native"
"3776","Clematis vitalba","italy","native"
"3777","Clematis vitalba","lebanon","native"
"3778","Clematis vitalba","netherlands","native"
"3779","Clematis vitalba","portugal","native"
"3780","Clematis vitalba","romania","native"
"3781","Clematis vitalba","russian federation","native"
"3782","Clematis vitalba","serbia and montenegro","native"
"3783","Clematis vitalba","spain","native"
"3784","Clematis vitalba","switzerland","native"
"3785","Clematis vitalba","syrian arab republic","native"
"3786","Clematis vitalba","turkey","native"
"3787","Clematis vitalba","ukraine","native"
"3788","Clematis vitalba","united kingdom","native"
"3789","Lonicera japonica","argentina","invasive"
"3790","Lonicera japonica","australia","invasive"
"3791","Lonicera japonica","bermuda","invasive"
"3792","Lonicera japonica","brazil","invasive"
"3793","Lonicera japonica","dominican republic","invasive"
"3794","Lonicera japonica","france","invasive"
"3795","Lonicera japonica","hong kong","invasive"
"3796","Lonicera japonica","new zealand","invasive"
"3797","Lonicera japonica","portugal","invasive"
"3798","Lonicera japonica","puerto rico","invasive"
"3799","Lonicera japonica","reunion","invasive"
"3800","Lonicera japonica","united kingdom","invasive"
"3801","Lonicera japonica","united states","invasive"
"3802","Lonicera japonica","japan","native"
"3803","Lonicera japonica","korean peninsula","native"
"3804","Rattus norvegicus","american samoa","invasive"
"3805","Rattus norvegicus","anguilla","invasive"
"3806","Rattus norvegicus","australia","invasive"
"3807","Rattus norvegicus","bahamas","invasive"
"3808","Rattus norvegicus","belgium","invasive"
"3809","Rattus norvegicus","bermuda","invasive"
"3810","Rattus norvegicus","brazil","invasive"
"3811","Rattus norvegicus","canada","invasive"
"3812","Rattus norvegicus","cayman islands","invasive"
"3813","Rattus norvegicus","chile","invasive"
"3814","Rattus norvegicus","china","invasive"
"3815","Rattus norvegicus","cook islands","invasive"
"3816","Rattus norvegicus","curacao","invasive"
"3817","Rattus norvegicus","denmark","invasive"
"3818","Rattus norvegicus","dominica","invasive"
"3819","Rattus norvegicus","dominican republic","invasive"
"3820","Rattus norvegicus","ecuador","invasive"
"3821","Rattus norvegicus","falkland islands (malvinas)","invasive"
"3822","Rattus norvegicus","fiji","invasive"
"3823","Rattus norvegicus","france","invasive"
"3824","Rattus norvegicus","french polynesia","invasive"
"3825","Rattus norvegicus","french southern territories","invasive"
"3826","Rattus norvegicus","guadeloupe","invasive"
"3827","Rattus norvegicus","guam","invasive"
"3828","Rattus norvegicus","isle of man","invasive"
"3829","Rattus norvegicus","israel","invasive"
"3830","Rattus norvegicus","jamaica","invasive"
"3831","Rattus norvegicus","japan","invasive"
"3832","Rattus norvegicus","kiribati","invasive"
"3833","Rattus norvegicus","malta","invasive"
"3834","Rattus norvegicus","marshall islands","invasive"
"3835","Rattus norvegicus","martinique","invasive"
"3836","Rattus norvegicus","mauritius","invasive"
"3837","Rattus norvegicus","mayotte","invasive"
"3838","Rattus norvegicus","mexico","invasive"
"3839","Rattus norvegicus","micronesia, federated states of","invasive"
"3840","Rattus norvegicus","montserrat","invasive"
"3841","Rattus norvegicus","new caledonia","invasive"
"3842","Rattus norvegicus","new zealand","invasive"
"3843","Rattus norvegicus","niue","invasive"
"3844","Rattus norvegicus","northern mariana islands","invasive"
"3845","Rattus norvegicus","palau","invasive"
"3846","Rattus norvegicus","peru","invasive"
"3847","Rattus norvegicus","portugal","invasive"
